Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q4_1,Q27,Q28,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q9_1,Q29,Q30,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q31,Q32,Q14,Q15,Q16
Indicate your agreement with each of the following statements about the class environment. - • My professor knows who I am.,Indicate your agreement with each of the following statements about the class environment. - • I felt comfortable asking questions and making comments in class.,Indicate your agreement with each of the following statements about the class environment. - • My professor believes in my ability to learn and succeed.,Indicate your agreement with each of the following statements about the class environment. - • I felt like I was a part of the classroom community.,"Indicate your agreement with each of the following statements about the class environment. - • My professor valued what I brought to class through my own personal experiences, inside and outside of class.","Please indicate your agreement with this statement. - In this class overall, I feel that my professor has created a learning atmosphere that makes me feel supported.",Please complete this sentence: Something(s) my professor did to make me feel supported was... (This is a space where you can expand on your answers to questions in the previous section.),Please complete this sentence: Something(s) I didn't like about the classroom atmosphere was... (This is a space where you can expand on your answers to questions in the previous section.),Indicate your agreement with each of the following statements about the class organization and structure. - • I understand what I was expected to learn in the class.,Indicate your agreement with each of the following statements about the class organization and structure. - • Work to be done on all assignments/activities was clearly explained.,Indicate your agreement with each of the following statements about the class organization and structure. - • The professor taught in the kind of way that works for my learning style.,Indicate your agreement with each of the following statements about the class organization and structure. - • The assignments and activities helped me to learn the material.,Indicate your agreement with each of the following statements about the class organization and structure. - • The professor used examples that were relevant to my own life and experiences.,Indicate your agreement with each of the following statements about the class organization and structure. - • The professor provided feedback on my work that helped my learning.,Indicate your agreement with each of the following statements about the class organization and structure. - • I understand how the professor determined the grades.,Indicate your agreement with each of the following statements about the class organization and structure. - • I understand why I got the grades I got.,Indicate your agreement with each of the following statements about the class organization and structure. - • The class was challenging in a way that was just right.,Please indicate your agreement with this statement. - The professor has organized and structured the class in a way that supports my learning experience.,Please complete this sentence: Something(s) I most liked about the class organization and structure was... (This is a space where you can expand on your answers to questions in the previous section.),Please complete this sentence: Something(s) I think could be improved about the class organization and structure was... (This is a space where you can expand on your answers to questions in the previous section.),Indicate your agreement with each of the following statements about your engagement in the class. - • I can tell my professor was excited about teaching the class.,"Indicate your agreement with each of the following statements about your engagement in the class. - In class, we used interactive approaches beyond just traditional lecture to learn the material.","Indicate your agreement with each of the following statements about your engagement in the class. - • In class, I worked with other students in groups or pairs.",Indicate your agreement with each of the following statements about your engagement in the class. - • My classmates and I learned from each other.,Indicate your agreement with each of the following statements about your engagement in the class. - • I had a lot of interactions with other students in my class.,Indicate your agreement with each of the following statements about your engagement in the class. - • My professor made me feel interested and engaged in this course.,Indicate your agreement with each of the following statements about your engagement in the class. - • I applied what I learned in this class in the class assignments.,Indicate your agreement with each of the following statements about your engagement in the class. - • I felt encouraged by the professor to think critically and question assumptions.,Indicate your agreement with each of the following statements about your engagement in the class. - • My professor connected what we did in class to current social and/or cultural events and issues.,Indicate your agreement with each of the following statements about your engagement in the class. - • My professor encouraged me to take time to reflect on what and how I was learning.,"Please indicate your agreement with this statement. - Overall, the professor made the class engaging.",Please complete this sentence: Something(s) that I particularly liked that made the class engaging was... (This is a space where you can expand on your answers to questions in the previous section.),Please complete this sentence: Something(s) that could be improved to make the class more engaging is... (This is a space where you can expand on your answers to questions in the previous section.),Please complete the following sentence: Something(s) that helped me be a successful student in this class was... (This is a space where you can expand on your answers to questions in this survey.),Please complete the following sentence: Something(s) I wish my professor had done differently is... (This is a space where you can expand on your answers to questions in this survey.),Please use the space below to add anything else that you feel is relevant to your experience in this class.
Somewhat disagree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Neutral,,,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,,,,,
Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,I did not feel supported,There was never a set structure for the course,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,there was no structure,having a tentative schedule and a thought out grading system ,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,N/A,change the way they taught the material,Studying with a classmate after class,give us more opportunities to get points in their grading system,
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,I did not feel supported last semester in spring of 2024.,"it was neutral, there was nothing that was amazing or bad.",Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,N/a classroom lacked organization,Just being more attentive and close attention to the detail. Coming to class a bit more enthused about the material and having us being more engaged.,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Can’t think of anything unfortunately.,Have the professor engage with students,A lot of studying on my own and utilizing other tools outside of class to help me be successful. ,"Have the students be engaged, go over the homework.",Na
Somewhat agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Somewhat disagree,Show that they care about my input.,"I notice that professors handle wrong answers in a slightly patronizing way. This is definitely not intended by the professors (they truly don't want to make us feel bad). It's just the way they execute it. Like, they say ""ehhhhh that's kind of close to the answer. I was looking for something in this general direction"". I feel that should be more straight forward because we deserve to understand why our THOUGHT PROCESS wasn't accurate rather than just knowing what the ANSWER  was.",Somewhat disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,,,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,"Something my professor did to make me feel supported was to answer my questions in class and allow me to go to her office hours for additional help, such as reviewing the answers on the exams as well as to do a lot of recapitulations on my lecture notes.","Something I did not like about the classroom atmosphere was that I struggled to understand her speech, which leads me to ask her many questions in class.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Something I most liked about the class organization and structure was the breakdown of the syllabus as well as how the professor organizes her lecture notes.,Something I think could be improved about the class organization and structure was that is the university hires a TA to interpret her speech for everyone in class to fully understand the taught concepts.,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Something that I particularly liked that made the class engaging was that she did not deviate from the concepts when lecturing.,"Something that could be improved to make the class more engaging is that the professor can issue additional questions on the lecture notes and provide the correct answer and the steps to solve each problem, so that we can learn better.",Something that helped me become a successful student in this class was to ask many questions that are related to recently taught concepts.,Something I wish my professor had done differently is to have the university hire a TA to interpret her speech when lecturing.,I was able to overcome this challenging course because of going to her office hours and asking a whole lot of questions in class in order for me to fully understand her lectures.
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Provide feedback on certain exams. ,How unclear instructions are. ,Neutral,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Somewhat disagree,Neutral,Strongly disagree,All are on Canvas. ,Be more updated and to have the slides identical in class. ,Somewhat disagree,Strongly disagree,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,,All can communicate. ,Be more clear. ,Work with other students. ,Be accepting to people’s questions and not backpedal.,"Professor’s grading is not clear, assignments’ instructions are not clear. "
Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Professor Poomi was horrible, the only thing he would do is have discussions after class that were relaly open ended but they were no help at all since you didn't know what to even ask and if you did ask hed just sit there and give you a really complicated technical answer or just ask a rhetocrical question that made you feel really stupid.",It was always silent except for the fact that he would just be talking about his personal achievements or showing us useless youtube videos.,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,He was flexible with deadlines just because he never had anything clear scheduled. ,He could have taken a a bit more time to explain the assignments we had in class because they were really unclear. ,Strongly disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,"There was nothing I like about this timber and masonry course. It made me feel stressed out because I had no idea what was going on in the class since he did anyting but teach,","Everything can be improved, the first thing I would start off by doing is never hiring Roy Poomi again.",Having my friends to be confused with since they were the only ones that I could actually relate to me.,I wish he did his job and teach us like undergraduate students who knew nothing about the course instead of people who had years of experience in the field,
Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,having different ways to make up for assignments and missing points ,"not enough questions where being asked, and the classroom material wasn't being expanded to the real world ",Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,that not too many assignments were given during the whole semester ,if the assignments were correlated to questions on the midterm and final,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly disagree,Somewhat disagree,Somewhat disagree,"when the professor made us ask ourselves questions on the why, why do you think this works?",is to correlate the material to the real world application and why this is helpful to solve them,"practicing, learning outside of the classroom, and self teaching new ways to see the problem",is to have the material in homework relate to the problems in the midterm and final ,N/A
